,name,type,coords,freq
241,EMGAT,FIX,N55.09.47.37 W004.45.11.90,000.000
242,EMKAD,FIX,N51.14.49.88 E000.42.33.94,000.000
243,EMKUK,FIX,N51.58.37.47 W001.21.14.72,000.000
244,EMLON,FIX,N53.12.20.44 E002.30.00.00,000.000
245,EMPER,FIX,N49.00.00.00 W009.00.00.00,000.000
246,ENCOD,FIX,N53.19.59.32 W000.24.23.92,000.000
247,ENDEQ,FIX,N53.26.44.38 W005.30.00.00,000.000
248,ENIPI,FIX,N55.01.10.78 W003.15.10.23,000.000
249,ENITO,FIX,N52.48.04.89 E002.28.03.26,000.000
250,ENUKU,FIX,N56.14.00.00 W003.38.19.00,000.000
251,EPOXI,FIX,N53.19.58.70 W003.27.17.71,000.000
252,EPUNA,FIX,N50.30.00.00 W014.00.00.00,000.000
253,ERAKA,FIX,N58.00.00.00 W010.00.00.00,000.000
254,ERDOG,FIX,N59.20.03.14 W001.25.03.64,000.000
255,ERDUV,FIX,N53.52.34.66 W004.10.08.23,000.000
256,ERFAX,FIX,N50.26.30.40 W003.59.02.85,000.000
257,ERGAB,FIX,N54.09.22.00 W002.23.12.00,000.000
258,ERGUM,FIX,N50.07.25.13 W001.44.49.66,000.000
259,ERING,FIX,N51.35.26.45 E001.36.43.00,000.000
260,ERKEX,FIX,N50.52.40.62 E001.19.36.96,000.000
261,ERKIT,FIX,N54.01.48.85 W000.49.48.85,000.000
262,ERLOT,FIX,N55.17.14.26 W000.35.05.84,000.000
263,ERNAN,FIX,N54.16.43.90 W007.23.33.97,000.000
264,ERNOK,FIX,N51.41.30.01 W002.56.44.29,000.000
265,ERSON,FIX,N56.27.47.58 W004.18.23.67,000.000
266,ESKDO,FIX,N55.17.56.00 W003.12.15.26,000.000
267,ESTRY,FIX,N53.39.52.07 W003.15.42.28,000.000
268,ETARI,FIX,N55.30.00.00 W015.00.00.00,000.000
269,ETIGA,FIX,N54.02.39.17 W004.47.26.67,000.000
270,ETILO,FIX,N57.30.00.00 W010.00.00.00,000.000
271,ETSOM,FIX,N57.53.31.02 W009.30.00.00,000.000
272,ETVAX,FIX,N50.58.06.99 E000.35.56.27,000.000
273,EVATA,FIX,N51.08.21.29 W000.45.57.52,000.000
274,EVBEV,FIX,N57.47.09.60 W007.40.41.24,000.000
275,EVEXU,FIX,N50.41.15.78 W000.34.40.86,000.000
276,EVKAL,FIX,N53.15.46.99 W000.26.37.21,000.000
277,EVMEK,FIX,N51.47.40.93 E001.12.17.66,000.000
278,EVNAL,FIX,N57.24.30.67 W009.30.00.00,000.000
279,EVNAS,FIX,N51.40.04.25 E000.26.38.37,000.000
280,EVRIN,FIX,N51.46.56.45 W006.33.47.61,000.000
281,EVSEM,FIX,N51.43.50.05 W001.27.45.14,000.000
282,EVSON,FIX,N53.21.27.00 W001.39.49.00,000.000
283,EVTAR,FIX,N55.27.51.18 W000.15.21.15,000.000
284,EVTES,FIX,N51.04.54.66 W001.12.57.07,000.000
285,EXARO,FIX,N51.00.03.26 W001.22.49.54,000.000
286,EXJET,FIX,N50.53.18.79 W003.05.32.25,000.000
287,EXMOR,FIX,N51.10.42.76 W003.21.35.11,000.000
288,FACTU,FIX,N52.21.02.96 W002.17.13.23,000.000
289,FENIK,FIX,N55.42.54.65 W004.17.30.91,000.000
290,FERIT,FIX,N51.37.59.23 E000.32.21.20,000.000
291,FIFAH,FIX,N51.52.48.51 W004.15.34.00,000.000
292,FIGZI,FIX,N51.57.34.77 W002.36.13.57,000.000
293,FINDO,FIX,N56.22.09.05 W003.27.48.80,000.000
294,FINMA,FIX,N51.59.47.21 W001.03.13.34,000.000
295,FITBO,FIX,N52.13.08.55 W002.24.12.55,000.000
296,FONZU,FIX,N50.49.21.60 W003.53.58.82,000.000
297,FORTY,FIX,N57.57.00.26 E000.35.44.60,000.000
298,FOXLA,FIX,N52.01.57.13 W004.12.36.58,000.000
299,FOYLE,FIX,N56.08.34.13 W004.22.56.41,000.000
300,FRANE,FIX,N51.23.06.00 E000.37.39.40,000.000
301,FYNER,FIX,N56.02.56.12 W005.06.55.19,000.000
302,GAJIT,FIX,N51.20.40.02 W002.00.00.00,000.000
